id_operadora,id_validador,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
2600,B35T020D00203220,2026-04-26,ABERTO,2026-04-26 00:00:05.903286,2026-04-26 00:04:05.713644,5,5,5,5,1.0,1.0
810017544,B5AT020D00600172,2026-04-26,ABERTO,2026-04-26 00:00:18.738154,2026-04-26 00:04:18.468481,5,5,5,5,1.0,1.0
810006036,B35T020D00204854,2026-04-26,ABERTO,2026-04-26 00:00:57.630672,2026-04-26 00:04:57.637406,5,5,5,5,1.0,1.0
810014785,B35T020D00206109,2026-04-26,ABERTO,2026-04-26 00:00:49.602119,2026-04-26 00:04:49.990979,5,5,5,0,0.0,1.0
810018820,B35T020D00206259,2026-04-26,ABERTO,2026-04-26 00:00:01.549077,2026-04-26 00:04:01.407149,5,5,5,5,1.0,1.0
464056465,B35T020D00208140,2026-04-26,ABERTO,2026-04-26 00:00:50.75717,2026-04-26 00:04:50.941031,5,5,5,5,1.0,1.0
810018778,B35T020D00202685,2026-04-26,ABERTO,2026-04-26 00:00:13.226455,2026-04-26 00:04:13.07225,5,5,5,5,1.0,1.0
810006771,B35T020D00202723,2026-04-26,ABERTO,2026-04-26 00:00:00.095866,2026-04-26 00:04:00.192138,5,5,5,5,1.0,1.0
810019674,B35T020D00204226,2026-04-26,ABERTO,2026-04-26 00:00:30.992538,2026-04-26 00:04:30.82319,5,5,5,5,1.0,1.0
760051234,B5AT020D00600075,2026-04-26,ABERTO,2026-04-26 00:00:06.959299,2026-04-26 00:04:06.534152,5,5,5,5,1.0,1.0
810018723,B35T020D00202305,2026-04-26,ABERTO,2026-04-26 00:00:06.410143,2026-04-26 00:04:06.066287,5,5,5,5,1.0,1.0
810001907,B35T020D00205283,2026-04-26,ABERTO,2026-04-26 00:00:50.65227,2026-04-26 00:04:50.830853,5,5,5,5,1.0,1.0
810008254,B35T020D00208504,2026-04-26,ABERTO,2026-04-26 00:00:25.897722,2026-04-26 00:04:25.755123,5,5,5,5,1.0,1.0
810014420,B35T020D00206341,2026-04-26,ABERTO,2026-04-26 00:00:11.145986,2026-04-26 00:04:10.7613,5,5,5,5,1.0,1.0
810002724,B35T020D00203246,2026-04-26,ABERTO,2026-04-26 00:00:09.961614,2026-04-26 00:04:10.055669,5,5,5,5,1.0,1.0
463625934,B35T020D00202721,2026-04-26,ABERTO,2026-04-26 00:00:21.937602,2026-04-26 00:04:21.636226,5,5,5,5,1.0,1.0
810014712,B35T020D00207491,2026-04-26,ABERTO,2026-04-26 00:00:09.530382,2026-04-26 00:04:09.517548,5,5,5,5,1.0,1.0
810012521,B35T020D00208990,2026-04-26,ABERTO,2026-04-26 00:00:52.086873,2026-04-26 00:04:52.112192,5,5,5,5,1.0,1.0
810019638,B35T020D00201595,2026-04-26,ABERTO,2026-04-26 00:00:38.730047,2026-04-26 00:04:38.750487,5,5,5,5,1.0,1.0
810015955,B35T020D00203221,2026-04-26,ABERTO,2026-04-26 00:00:10.288008,2026-04-26 00:04:10.272775,5,5,5,5,1.0,1.0
810011324,B35T020D00202932,2026-04-26,ABERTO,2026-04-26 00:00:50.471296,2026-04-26 00:04:50.621134,5,5,5,5,1.0,1.0
810016639,B35T020D00201776,2026-04-26,ABERTO,2026-04-26 00:00:08.079517,2026-04-26 00:04:07.850376,5,5,5,5,1.0,1.0
463386787,B35T020D00203779,2026-04-26,ABERTO,2026-04-26 00:00:23.505865,2026-04-26 00:04:23.19604,5,5,5,5,1.0,1.0
810013834,B35T020D00203861,2026-04-26,ABERTO,2026-04-26 00:00:09.208236,2026-04-26 00:04:09.154276,5,5,5,5,1.0,1.0
810010002,B35T020D00200819,2026-04-26,ABERTO,2026-04-26 00:00:00.19247,2026-04-26 00:03:59.822965,4,4,5,5,1.0,1.0
810012220,B35T020D00206280,2026-04-26,ABERTO,2026-04-26 00:00:00.465938,2026-04-26 00:04:00.568643,5,5,5,5,1.0,1.0
810002557,B35T020D00200723,2026-04-26,ABERTO,2026-04-26 00:00:40.236387,2026-04-26 00:04:40.218504,5,5,5,5,1.0,1.0
810006027,B35T020D00205280,2026-04-26,ABERTO,2026-04-26 00:00:00.179378,2026-04-26 00:04:59.998577,5,5,6,6,1.0,1.0
463625606,B35T020D00204623,2026-04-26,ABERTO,2026-04-26 00:00:13.250371,2026-04-26 00:04:13.45844,5,4,4,4,1.0,0.8
810010747,B35T020D00210043,2026-04-26,ABERTO,2026-04-26 00:00:38.321667,2026-04-26 00:04:38.297604,5,5,5,5,1.0,1.0
810012354,B35T020D00207127,2026-04-26,ABERTO,2026-04-26 00:00:14.985831,2026-04-26 00:04:14.755698,5,5,5,5,1.0,1.0
810005097,B35T020D00206275,2026-04-26,ABERTO,2026-04-26 00:00:27.908734,2026-04-26 00:04:27.870907,5,5,5,5,1.0,1.0
810017508,B35T020D00206491,2026-04-26,ABERTO,2026-04-26 00:00:28.781353,2026-04-26 00:04:28.616447,5,5,5,5,1.0,1.0
810006601,B35T020D00208751,2026-04-26,ABERTO,2026-04-26 00:00:10.990085,2026-04-26 00:04:10.646463,5,5,5,5,1.0,1.0
463180073,B35T020D00209239,2026-04-26,ABERTO,2026-04-26 00:00:42.570232,2026-04-26 00:04:42.263494,5,5,5,5,1.0,1.0
810014101,B35T020D00205432,2026-04-26,ABERTO,2026-04-26 00:00:20.756344,2026-04-26 00:04:20.698745,5,5,5,5,1.0,1.0
810003745,B35T020D00207289,2026-04-26,ABERTO,2026-04-26 00:00:29.945113,2026-04-26 00:04:29.886475,5,5,5,5,1.0,1.0
810003967,B35T020D00210037,2026-04-26,ABERTO,2026-04-26 00:00:38.824493,2026-04-26 00:04:38.43635,5,5,5,5,1.0,1.0
810019054,B35T020D00204503,2026-04-26,ABERTO,2026-04-26 00:00:35.234791,2026-04-26 00:04:35.146618,5,5,5,5,1.0,1.0
